sales_date,order_id,customer_name,branch,product_name,category,color,price,quantity,payment_type,trade_in,discount,total,total_sales,status,branch_address
5/23/2025,TRX00047,Customer_1583,Kendari,Mitsubishi Xpander Ultimate CVT,MPV,Merah,320000000,1,Kredit + Trade In,209000000,0,320000000,111000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
4/2/2025,TRX00048,Customer_3275,Semarang,Mitsubishi Xpander Ultimate CVT,MPV,Putih Pearl,320000000,1,Kredit + Trade In,165000000,0,320000000,155000000,completed,"Jl. Setiabudi No. 60, Semarang"
7/17/2025,TRX00049,Customer_3560,Karawang,Mitsubishi Xpander Ultimate CVT,MPV,Abu-abu Titanium,320000000,1,Kredit,0,0,320000000,320000000,cancelled,"Jl. Ahmad Yani No. 5, Karawang"
10/3/2025,TRX00050,Customer_1558,Padang,Toyota Innova Zenix 2.0 V CVT,MPV,Merah Maroon,450000000,1,Kredit + Trade In,130000000,0,450000000,320000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
6/3/2025,TRX00051,Customer_574,Karawang,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Hitam Metalik,520000000,1,Cash,0,0,520000000,520000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
12/7/2025,TRX00052,Customer_3346,Karawang,Suzuki Ertiga GX AT,MPV,Hitam Metalik,260000000,1,Cash,0,0,260000000,260000000,cancelled,"Jl. Ahmad Yani No. 5, Karawang"
6/5/2025,TRX00053,Customer_1426,Batam,Nissan Livina VE AT,MPV,Silver Metalik,260000000,1,Kredit + Trade In,176000000,0,260000000,84000000,completed,"Jl. Engku Putri No. 9, Batam"
3/28/2025,TRX00054,Customer_2640,Malang,Hyundai Creta Prime AT,SUV,Merah Fiery,320000000,1,Kredit,0,0,320000000,320000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
5/1/2025,TRX00055,Customer_2325,Semarang,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Hitam Metalik,520000000,1,Kredit + Trade In,188000000,0,520000000,332000000,completed,"Jl. Setiabudi No. 60, Semarang"
2/7/2025,TRX00056,Customer_1632,Pontianak,Toyota Avanza 1.5 G CVT,MPV,Putih Mutiara,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
1/3/2025,TRX00057,Customer_1593,Kendari,Hyundai Stargazer Prime AT,MPV,Hitam Phantom,300000000,1,Cash + Trade In,84000000,0,300000000,216000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
3/4/2025,TRX00058,Customer_1793,Pontianak,Wuling Almaz RS Pro AT,SUV,Hitam Metalik,320000000,1,Kredit,0,0,320000000,320000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
11/10/2025,TRX00059,Customer_3807,Semarang,Wuling Air ev Long Range,City Car (EV),Abu-abu,250000000,1,Kredit + Trade In,250000000,0,250000000,0,completed,"Jl. Setiabudi No. 60, Semarang"
11/23/2025,TRX00060,Customer_4489,Malang,Honda HR-V 1.5 E CVT,SUV,Merah,380000000,1,Cash + Trade In,171000000,0,380000000,209000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
5/1/2025,TRX00061,Customer_4271,Malang,Honda BR-V 1.5 E CVT,MPV,Hitam Metalik,310000000,1,Cash + Trade In,169000000,0,310000000,141000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
12/28/2025,TRX00062,Customer_4425,Bandung,Honda Brio Satya E CVT,Hatchback,Merah,190000000,1,Cash + Trade In,139000000,0,190000000,51000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
8/4/2025,TRX00063,Customer_3340,Karawang,Wuling Air ev Long Range,City Car (EV),Hitam,250000000,1,Cash,0,0,250000000,250000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
7/19/2025,TRX00064,Customer_161,Batam,Suzuki Ertiga GX AT,MPV,Merah,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Engku Putri No. 9, Batam"
9/6/2025,TRX00065,Customer_3433,Semarang,Wuling Air ev Long Range,City Car (EV),Biru,250000000,1,Kredit,0,0,250000000,250000000,completed,"Jl. Setiabudi No. 60, Semarang"
10/1/2025,TRX00066,Customer_2754,Kendari,Honda HR-V 1.5 E CVT,SUV,Merah,380000000,1,Kredit + Trade In,43000000,0,380000000,337000000,cancelled,"Jl. Ahmad Yani No. 33, Kendari"
5/14/2025,TRX00067,Customer_223,Bandung,Suzuki XL7 Beta AT,SUV,Hitam Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
8/4/2025,TRX00068,Customer_1734,Malang,Mitsubishi Xpander Ultimate CVT,MPV,Merah,320000000,1,Kredit,0,0,320000000,320000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
11/29/2025,TRX00069,Customer_671,Malang,Toyota Avanza 1.5 G CVT,MPV,Putih Mutiara,260000000,3,Kredit,0,0,780000000,780000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
5/3/2025,TRX00070,Customer_330,Jakarta,Honda BR-V 1.5 E CVT,MPV,Silver Metalik,310000000,1,Kredit,0,0,310000000,310000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
3/27/2025,TRX00071,Customer_938,Batam,Honda CR-V 1.5 Turbo RS,SUV,Hitam Metalik,650000000,1,Cash + Trade In,88000000,0,650000000,562000000,completed,"Jl. Engku Putri No. 9, Batam"
7/12/2025,TRX00072,Customer_1342,Padang,Toyota Fortuner 2.4 VRZ 4x2 AT,SUV,Hitam Metalik,580000000,1,Kredit,0,0,580000000,580000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
12/23/2025,TRX00073,Customer_1625,Bandung,Nissan Livina VE AT,MPV,Hitam Metalik,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
2/5/2025,TRX00074,Customer_992,Batam,Toyota Innova Zenix 2.0 V CVT,MPV,Abu-abu Metalik,450000000,1,Cash + Trade In,289000000,0,450000000,161000000,completed,"Jl. Engku Putri No. 9, Batam"
8/24/2025,TRX00075,Customer_104,Kendari,Hyundai Stargazer Prime AT,MPV,Putih Atlas,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
10/3/2025,TRX00076,Customer_3568,Pontianak,Wuling Almaz RS Pro AT,SUV,Abu-abu Metalik,320000000,1,Kredit + Trade In,277000000,0,320000000,43000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
8/26/2025,TRX00077,Customer_2199,Karawang,Honda BR-V 1.5 E CVT,MPV,Putih Mutiara,310000000,1,Kredit,0,0,310000000,310000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
4/19/2025,TRX00078,Customer_3105,Karawang,Toyota Avanza 1.5 G CVT,MPV,Coklat Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
4/8/2025,TRX00079,Customer_2117,Karawang,Daihatsu Xenia 1.5 R CVT,MPV,Hitam Metalik,240000000,1,Kredit,0,0,240000000,240000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
9/9/2025,TRX00080,Customer_3330,Malang,Wuling Air ev Long Range,City Car (EV),Biru,250000000,1,Kredit,0,1000000,250000000,249000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
12/6/2025,TRX00081,Customer_142,Bandung,Daihatsu Terios 1.5 R CVT,SUV,Hitam Metalik,290000000,1,Kredit,0,0,290000000,290000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
6/19/2025,TRX00082,Customer_3877,Semarang,Wuling Almaz RS Pro AT,SUV,Hitam Metalik,320000000,1,Cash + Trade In,210000000,0,320000000,110000000,completed,"Jl. Setiabudi No. 60, Semarang"
3/3/2025,TRX00083,Customer_2220,Padang,Daihatsu Xenia 1.5 R CVT,MPV,Silver Metalik,240000000,1,Cash,0,1000000,240000000,239000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
9/26/2025,TRX00084,Customer_1517,Palembang,Honda CR-V 1.5 Turbo RS,SUV,Abu-abu Metalik,650000000,1,Cash + Trade In,174000000,0,650000000,476000000,refund,"Jl. Kolonel H. Barlian No. 21, Palembang"
10/1/2025,TRX00085,Customer_1591,Padang,Honda BR-V 1.5 E CVT,MPV,Hitam Metalik,310000000,1,Cash,0,0,310000000,310000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
9/9/2025,TRX00086,Customer_373,Jakarta,Wuling Air ev Long Range,City Car (EV),Abu-abu,250000000,1,Cash,0,1000000,250000000,249000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
1/27/2025,TRX00087,Customer_101,Batam,Daihatsu Terios 1.5 R CVT,SUV,Silver Metalik,290000000,1,Kredit,0,0,290000000,290000000,completed,"Jl. Engku Putri No. 9, Batam"
12/18/2025,TRX00088,Customer_3914,Bandung,Toyota Rush 1.5 S GR Sport CVT,SUV,Silver Metalik,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
8/2/2025,TRX00089,Customer_1223,Batam,Daihatsu Terios 1.5 R CVT,SUV,Putih Mutiara,290000000,3,Cash,0,0,870000000,870000000,completed,"Jl. Engku Putri No. 9, Batam"
10/29/2025,TRX00090,Customer_1849,Semarang,Suzuki Ertiga GX AT,MPV,Merah,260000000,1,Kredit,0,0,260000000,260000000,refund,"Jl. Setiabudi No. 60, Semarang"
4/17/2025,TRX00091,Customer_2502,Batam,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Putih,520000000,1,Cash + Trade In,138000000,0,520000000,382000000,completed,"Jl. Engku Putri No. 9, Batam"
7/29/2025,TRX00092,Customer_666,Pontianak,Honda BR-V 1.5 E CVT,MPV,Silver Metalik,310000000,1,Cash,0,0,310000000,310000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
8/21/2025,TRX00093,Customer_3850,Padang,Toyota Innova Zenix 2.0 V CVT,MPV,Hitam Metalik,450000000,1,Kredit,0,0,450000000,450000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
2/28/2025,TRX00094,Customer_1913,Padang,Nissan Livina VE AT,MPV,Hitam Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
11/1/2025,TRX00095,Customer_1221,Padang,Honda Brio Satya E CVT,Hatchback,Putih,190000000,1,Cash + Trade In,177000000,0,190000000,13000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
2/11/2025,TRX00096,Customer_3840,Padang,Suzuki Ertiga GX AT,MPV,Hitam Metalik,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
12/12/2025,TRX00097,Customer_3540,Karawang,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Hitam Metalik,520000000,1,Kredit,0,1000000,520000000,519000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
9/23/2025,TRX00098,Customer_170,Padang,Nissan Livina VE AT,MPV,Putih Mutiara,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
2/16/2025,TRX00099,Customer_2279,Pontianak,Nissan Livina VE AT,MPV,Silver Metalik,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
12/22/2025,TRX00100,Customer_3346,Karawang,Mitsubishi Xpander Ultimate CVT,MPV,Putih Pearl,320000000,1,Kredit,0,0,320000000,320000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
3/1/2025,TRX00101,Customer_3281,Semarang,Toyota Innova Zenix 2.0 V CVT,MPV,Merah Maroon,450000000,1,Kredit,0,0,450000000,450000000,refund,"Jl. Setiabudi No. 60, Semarang"
7/5/2025,TRX00102,Customer_3312,Semarang,Toyota Avanza 1.5 G CVT,MPV,Coklat Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Setiabudi No. 60, Semarang"
5/28/2025,TRX00103,Customer_4084,Malang,Toyota Innova Zenix 2.0 V CVT,MPV,Hitam Metalik,450000000,1,Cash,0,0,450000000,450000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
1/8/2025,TRX00104,Customer_3971,Bandung,Toyota Avanza 1.5 G CVT,MPV,Silver Metalik,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
3/20/2025,TRX00105,Customer_764,Palembang,Toyota Fortuner 2.4 VRZ 4x2 AT,SUV,Coklat Metalik,580000000,1,Kredit,0,0,580000000,580000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
5/5/2025,TRX00106,Customer_2391,Semarang,Daihatsu Xenia 1.5 R CVT,MPV,Coklat Metalik,240000000,1,Kredit + Trade In,239000000,1000000,240000000,0,completed,"Jl. Setiabudi No. 60, Semarang"
8/1/2025,TRX00107,Customer_3143,Palembang,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Silver Metalik,520000000,1,Kredit,0,0,520000000,520000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
10/24/2025,TRX00108,Customer_4160,Padang,Toyota Avanza 1.5 G CVT,MPV,Hitam Metalik,260000000,1,Kredit + Trade In,260000000,0,260000000,0,completed,"Jl. Khatib Sulaiman No. 10, Padang"
7/13/2025,TRX00109,Customer_3659,Semarang,Hyundai Stargazer Prime AT,MPV,Hitam Phantom,300000000,1,Cash + Trade In,263000000,0,300000000,37000000,cancelled,"Jl. Setiabudi No. 60, Semarang"
1/23/2025,TRX00110,Customer_1546,Palembang,Nissan Livina VE AT,MPV,Silver Metalik,260000000,1,Cash + Trade In,192000000,0,260000000,68000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
10/30/2025,TRX00111,Customer_3124,Kendari,Honda Brio Satya E CVT,Hatchback,Hitam,190000000,1,Cash,0,0,190000000,190000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
12/2/2025,TRX00112,Customer_823,Malang,Toyota Fortuner 2.4 VRZ 4x2 AT,SUV,Coklat Metalik,580000000,1,Cash,0,0,580000000,580000000,refund,"Jl. Soekarno Hatta No. 77, Malang"
2/11/2025,TRX00113,Customer_613,Malang,Daihatsu Xenia 1.5 R CVT,MPV,Hitam Metalik,240000000,1,Kredit,0,0,240000000,240000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
2/5/2025,TRX00114,Customer_4372,Kendari,Mitsubishi Xpander Ultimate CVT,MPV,Abu-abu Titanium,320000000,1,Cash,0,0,320000000,320000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
12/27/2025,TRX00115,Customer_2355,Palembang,Toyota Rush 1.5 S GR Sport CVT,SUV,Silver Metalik,300000000,2,Cash + Trade In,81000000,0,600000000,519000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
7/11/2025,TRX00116,Customer_2454,Jakarta,Toyota Innova Zenix 2.0 V CVT,MPV,Abu-abu Metalik,450000000,1,Kredit,0,0,450000000,450000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
7/15/2025,TRX00117,Customer_2001,Semarang,Suzuki XL7 Beta AT,SUV,Hitam Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Setiabudi No. 60, Semarang"
8/24/2025,TRX00118,Customer_1973,Malang,Nissan Livina VE AT,MPV,Putih Mutiara,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
10/28/2025,TRX00119,Customer_77,Malang,Daihatsu Terios 1.5 R CVT,SUV,Hitam Metalik,290000000,1,Kredit + Trade In,183000000,0,290000000,107000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
9/5/2025,TRX00120,Customer_3476,Padang,Hyundai Creta Prime AT,SUV,Abu-abu Titanium,320000000,1,Kredit,0,0,320000000,320000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
1/12/2025,TRX00121,Customer_3125,Batam,Mitsubishi Pajero Sport Dakar 4x2 AT,SUV,Abu-abu Quartz,580000000,1,Cash + Trade In,232000000,0,580000000,348000000,completed,"Jl. Engku Putri No. 9, Batam"
6/30/2025,TRX00122,Customer_402,Batam,Hyundai Stargazer Prime AT,MPV,Hitam Phantom,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. Engku Putri No. 9, Batam"
11/27/2025,TRX00123,Customer_1558,Batam,Daihatsu Xenia 1.5 R CVT,MPV,Silver Metalik,240000000,1,Kredit + Trade In,50000000,0,240000000,190000000,completed,"Jl. Engku Putri No. 9, Batam"
6/1/2025,TRX00124,Customer_3612,Jakarta,Nissan Livina VE AT,MPV,Silver Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
7/7/2025,TRX00125,Customer_3404,Pontianak,Honda CR-V 1.5 Turbo RS,SUV,Putih Mutiara,650000000,1,Kredit + Trade In,286000000,1000000,650000000,363000000,cancelled,"Jl. Ahmad Yani No. 45, Pontianak"
2/28/2025,TRX00126,Customer_1348,Padang,Hyundai Stargazer Prime AT,MPV,Hitam Phantom,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
7/7/2025,TRX00127,Customer_617,Pontianak,Honda BR-V 1.5 E CVT,MPV,Merah,310000000,2,Kredit + Trade In,76000000,1000000,620000000,543000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
12/11/2025,TRX00128,Customer_115,Padang,Wuling Air ev Long Range,City Car (EV),Putih,250000000,1,Cash + Trade In,164000000,0,250000000,86000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
10/15/2025,TRX00129,Customer_3044,Bandung,Honda BR-V 1.5 E CVT,MPV,Merah,310000000,1,Kredit + Trade In,197000000,0,310000000,113000000,cancelled,"Jl. Soekarno Hatta No. 88, Bandung"
